utterance_id,speaker_id,score
test_public_0001.wav,1043,0.4374355
test_public_0001.wav,1077,0.50294
test_public_0001.wav,1075,0.72173
test_public_0001.wav,1092,0.552852
test_public_0001.wav,1108,0.4623835
test_public_0002.wav,1107,0.674998
test_public_0002.wav,1072,0.8319245
test_public_0002.wav,1084,0.647807
test_public_0002.wav,1067,0.640559
test_public_0002.wav,1109,0.7707444999999999
test_public_0003.wav,1090,0.5311215
test_public_0003.wav,1094,0.5577985
test_public_0003.wav,1087,0.553566
test_public_0003.wav,1043,0.671699
test_public_0003.wav,1095,0.578507
test_public_0004.wav,1081,0.7041554999999999
test_public_0004.wav,1043,0.63948
test_public_0004.wav,1109,0.7626985
test_public_0004.wav,1086,0.8594345
test_public_0004.wav,1068,0.6125605
test_public_0005.wav,2046,0.614189
test_public_0005.wav,2100,0.6588485
test_public_0005.wav,2097,0.8962975
test_public_0005.wav,2050,0.560131
test_public_0005.wav,2056,0.5777505000000001
test_public_0006.wav,1090,0.68231
test_public_0006.wav,1073,0.738659
test_public_0006.wav,1075,0.5559855
test_public_0006.wav,1089,0.605069
test_public_0006.wav,1082,0.4080885
test_public_0007.wav,1084,0.8658675
test_public_0007.wav,1069,0.580812
test_public_0007.wav,1073,0.682405
test_public_0007.wav,1077,0.700581
test_public_0007.wav,1096,0.6158135
test_public_0008.wav,1093,0.443048
test_public_0008.wav,1109,0.6245695
test_public_0008.wav,1081,0.871623
test_public_0008.wav,1094,0.5634185
test_public_0008.wav,1077,0.561094
test_public_0009.wav,2050,0.737264
test_public_0009.wav,2100,0.62215
test_public_0009.wav,2083,0.679473
test_public_0009.wav,2102,0.7953140000000001
test_public_0009.wav,2047,0.949595
test_public_0010.wav,2056,0.7371035
test_public_0010.wav,2046,0.667025
test_public_0010.wav,2097,0.5903735
test_public_0010.wav,2083,0.5513775
test_public_0010.wav,2102,0.7246545
test_public_0011.wav,2103,0.674124
test_public_0011.wav,2056,0.6619740000000001
test_public_0011.wav,2046,0.661077
test_public_0011.wav,2100,0.9323224999999999
test_public_0011.wav,2047,0.560797
test_public_0012.wav,2103,0.748695
test_public_0012.wav,2047,0.7773895
test_public_0012.wav,2083,0.6131445
test_public_0012.wav,2048,0.738053
test_public_0012.wav,2056,0.715354
test_public_0013.wav,1072,0.5671125
test_public_0013.wav,1098,0.5594725
test_public_0013.wav,1080,0.662484
test_public_0013.wav,1087,0.586905
test_public_0013.wav,1070,0.5634855
test_public_0014.wav,1101,0.6530795
test_public_0014.wav,1091,0.533876
test_public_0014.wav,1089,0.715313
test_public_0014.wav,1078,0.5315065
test_public_0014.wav,1075,0.5733865
test_public_0015.wav,2056,0.5806515
test_public_0015.wav,2100,0.6556765
test_public_0015.wav,2083,0.5800365
test_public_0015.wav,2048,0.719841
test_public_0015.wav,2050,0.518391
test_public_5893.wav,1093,0.5047915
test_public_5893.wav,1084,0.6029865
test_public_5893.wav,1094,0.4336715
test_public_5893.wav,1099,0.673682
test_public_5893.wav,1082,0.7944505
test_public_5894.wav,1077,0.708904
test_public_5894.wav,1080,0.45795600000000003
test_public_5894.wav,1089,0.4892815
test_public_5894.wav,1067,0.647099
test_public_5894.wav,1085,0.5330965
test_public_5895.wav,1084,0.5441835
test_public_5895.wav,1082,0.6387565
test_public_5895.wav,1078,0.679597
test_public_5895.wav,1066,0.501845
test_public_5895.wav,1086,0.5346065
test_public_5896.wav,1075,0.50459
test_public_5896.wav,1078,0.559403
test_public_5896.wav,1091,0.8355764999999999
test_public_5896.wav,1107,0.6363840000000001
test_public_5896.wav,1074,0.6752035000000001
test_public_5897.wav,1068,0.8978205
test_public_5897.wav,1066,0.5622225
test_public_5897.wav,1079,0.677397
test_public_5897.wav,1074,0.7120305
test_public_5897.wav,1082,0.7751515
test_public_5898.wav,1086,0.6358794999999999
test_public_5898.wav,1092,0.570845
test_public_5898.wav,1094,0.4448755
test_public_5898.wav,1076,0.9131885
test_public_5898.wav,1109,0.6489255
test_public_5899.wav,1095,0.8853599999999999
test_public_5899.wav,1082,0.453638
test_public_5899.wav,1072,0.7417475
test_public_5899.wav,1077,0.6040705
test_public_5899.wav,1091,0.466855
test_public_5900.wav,1085,0.594892
test_public_5900.wav,1067,0.625338
test_public_5900.wav,1091,0.4927535
test_public_5900.wav,1076,0.7531939999999999
test_public_5900.wav,1094,0.418091
test_public_5901.wav,1096,0.5797355
test_public_5901.wav,1104,0.8740395000000001
test_public_5901.wav,1072,0.4934255
test_public_5901.wav,1043,0.490089
test_public_5901.wav,1087,0.410499
test_public_5902.wav,1090,0.5595559999999999
test_public_5902.wav,1096,0.5889075
test_public_5902.wav,1073,0.621183
test_public_5902.wav,1071,0.5972935
test_public_5902.wav,1085,0.834217
test_public_5903.wav,1090,0.4468845
test_public_5903.wav,1074,0.566084
test_public_5903.wav,1071,0.8090269999999999
test_public_5903.wav,1076,0.4363
test_public_5903.wav,1080,0.648734
test_public_5904.wav,2048,0.8156905
test_public_5904.wav,2100,0.623107
test_public_5904.wav,2050,0.616404
test_public_5904.wav,2046,0.667523
test_public_5904.wav,2102,0.826599
test_public_5905.wav,1108,0.551931
test_public_5905.wav,1105,0.7060075
test_public_5905.wav,1066,0.40239400000000003
test_public_5905.wav,1089,0.473472
test_public_5905.wav,1074,0.5553145
test_public_5906.wav,1080,0.532234
test_public_5906.wav,1072,0.661494
test_public_5906.wav,1067,0.573572
test_public_5906.wav,1043,0.870458
test_public_5906.wav,1096,0.671444
test_public_5907.wav,1093,0.808961
test_public_5907.wav,1086,0.6750965
test_public_5907.wav,1092,0.5567575
test_public_5907.wav,1081,0.521036
test_public_5907.wav,1096,0.619702
test_public_5877.wav,1090,0.498144
test_public_5877.wav,1078,0.518523
test_public_5877.wav,1096,0.7617425
test_public_5877.wav,1080,0.627537
test_public_5877.wav,1074,0.5481225
test_public_5878.wav,2100,0.5484125
test_public_5878.wav,2050,0.576199
test_public_5878.wav,2047,0.5988020000000001
test_public_5878.wav,2083,0.651501
test_public_5878.wav,2046,0.6807
test_public_5879.wav,1099,0.4931615
test_public_5879.wav,1071,0.701724
test_public_5879.wav,1085,0.6915985
test_public_5879.wav,1066,0.58789
test_public_5879.wav,1106,0.5654525
test_public_5880.wav,1107,0.5432555
test_public_5880.wav,1081,0.393492
test_public_5880.wav,1108,0.589365
test_public_5880.wav,1076,0.7859345
test_public_5880.wav,1104,0.5664435
test_public_5881.wav,1080,0.492751
test_public_5881.wav,1075,0.5463614999999999
test_public_5881.wav,1096,0.5790095
test_public_5881.wav,1091,0.8076125000000001
test_public_5881.wav,1068,0.5228215
test_public_5882.wav,1086,0.5797950000000001
test_public_5882.wav,1106,0.672391
test_public_5882.wav,1076,0.7284025000000001
test_public_5882.wav,1068,0.870063
test_public_5882.wav,1067,0.7460955
test_public_5883.wav,1073,0.6295385
test_public_5883.wav,1084,0.31477
test_public_5883.wav,1087,0.5099995
